iter	Passed	Remaining
676	3295	1572
677	3300	1567
678	3304	1562
679	3308	1557
680	3313	1552
681	3318	1547
682	3322	1542
683	3327	1537
684	3331	1532
685	3336	1527
686	3340	1521
687	3344	1516
688	3349	1511
689	3353	1506
690	3358	1501
691	3363	1497
692	3367	1491
693	3372	1486
694	3377	1482
695	3381	1476
696	3385	1471
697	3390	1466
698	3395	1461
699	3399	1456
700	3403	1451
701	3408	1447
702	3413	1442
703	3417	1437
704	3422	1432
705	3426	1427
706	3431	1421
707	3451	1423
708	3457	1418
709	3461	1413
710	3466	1408
711	3470	1403
712	3475	1399
713	3480	1393
714	3484	1388
715	3488	1383
716	3493	1378
717	3497	1373
718	3502	1369
719	3507	1364
720	3512	1359
721	3517	1354
722	3521	1349
723	3526	1344
724	3531	1339
725	3536	1334
726	3541	1329
727	3546	1325
728	3551	1320
729	3556	1315
730	3560	1310
731	3565	1305
732	3570	1300
733	3574	1295
734	3580	1291
735	3585	1286
736	3590	1281
737	3595	1276
738	3600	1271
739	3604	1266
740	3611	1262
741	3616	1257
742	3620	1252
743	3625	1247
744	3631	1242
745	3636	1238
746	3642	1233
747	3647	1228
748	3654	1224
749	3659	1219
750	3663	1214
751	3669	1210
752	3674	1205
753	3679	1200
754	3685	1195
755	3690	1191
756	3695	1186
757	3700	1181
758	3705	1176
759	3710	1171
760	3716	1167
761	3722	1162
762	3727	1157
763	3732	1153
764	3737	1148
765	3742	1143
766	3748	1138
767	3753	1133
768	3757	1128
769	3763	1124
770	3768	1119
771	3772	1114
772	3778	1109
773	3784	1104
774	3788	1099
775	3793	1095
776	3799	1090
777	3805	1085
778	3811	1081
779	3816	1076
780	3821	1071
781	3825	1066
782	3829	1061
783	3835	1056
784	3840	1051
785	3845	1046
786	3850	1042
787	3855	1037
788	3859	1032
789	3881	1031
790	3885	1026
791	3890	1021
792	3895	1016
793	3900	1011
794	3904	1006
795	3909	1001
796	3914	997
797	3919	992
798	3923	986
799	3929	982
800	3933	977
801	3938	972
802	3943	967
803	3948	962
804	3953	957
805	3958	952
806	3962	947
807	3967	942
808	3972	937
809	3977	933
810	3981	927
811	3986	923
812	3990	917
813	3994	912
814	3998	907
815	4003	902
816	4007	897
817	4011	892
818	4015	887
819	4019	882
820	4023	877
821	4027	872
822	4031	867
823	4035	861
824	4039	856
825	4043	851
826	4047	846
827	4051	841
828	4055	836
829	4058	831
830	4072	828
831	4076	823
832	4080	818
833	4084	812
834	4088	807
835	4091	802
836	4095	797
837	4099	792
838	4103	787
839	4106	782
840	4110	777
841	4114	772
842	4119	767
843	4123	762
844	4128	757
845	4132	752
846	4136	747
847	4140	742
848	4144	737
849	4147	731
850	4151	726
851	4155	721
852	4158	716
853	4162	711
854	4166	706
855	4170	701
856	4173	696
857	4177	691
858	4181	686
859	4185	681
860	4189	676
861	4192	671
862	4196	666
863	4201	661
864	4204	656
865	4208	651
866	4212	646
867	4216	641
868	4220	636
869	4223	631
870	4227	626
871	4231	621
872	4235	616
873	4238	611
874	4242	606
875	4246	601
876	4249	596
877	4253	591
878	4256	585
879	4260	581
880	4264	576
881	4267	570
882	4271	565
883	4275	561
884	4279	556
885	4282	551
886	4286	546
887	4290	541
888	4294	536
889	4298	531
890	4303	526
891	4307	521
892	4310	516
893	4313	511
894	4317	506
895	4321	501
896	4325	496
897	4328	491
898	4332	486
899	4336	481
900	4339	476
901	4343	471
902	4346	466
903	4350	462
904	4354	457
905	4357	452
906	4361	447
907	4364	442
908	4368	437
909	4371	432
910	4375	427
911	4378	422
912	4382	417
913	4385	412
914	4389	407
915	4392	402
916	4396	397
917	4399	392
918	4402	388
919	4406	383
920	4409	378
921	4413	373
922	4416	368
923	4420	363
924	4423	358
925	4427	353
926	4431	348
927	4434	344
928	4437	339
929	4441	334
930	4445	329
931	4448	324
932	4452	319
933	4455	314
934	4459	310
935	4463	305
936	4467	300
937	4472	295
938	4475	290
939	4479	285
940	4482	281
941	4486	276
942	4489	271
943	4492	266
944	4496	261
945	4499	256
946	4503	252
947	4506	247
948	4510	242
949	4513	237
950	4518	232
951	4521	227
952	4524	223
953	4528	218
954	4532	213
955	4536	208
956	4539	203
957	4542	199
958	4547	194
959	4550	189
960	4553	184
961	4556	180
962	4560	175
963	4564	170
964	4567	165
965	4570	160
966	4574	156
967	4578	151
968	4581	146
969	4584	141
970	4588	137
971	4592	132
972	4595	127
973	4598	122
974	4601	117
975	4605	113
976	4608	108
977	4612	103
978	4615	99
979	4618	94
980	4622	89
981	4626	84
982	4629	80
983	4632	75
984	4636	70
985	4640	65
986	4643	61
987	4646	56
988	4650	51
989	4653	47
990	4656	42
991	4660	37
992	4663	32
993	4667	28
994	4670	23
995	4673	18
996	4677	14
997	4680	9
998	4683	4
999	4686	0
